date version nhelpfiles nobjects ndatasets Rlines srclines
"2017-02-23" "1.3-3" 24 159 0 3038 1714
"2017-03-21" "1.4-1" 24 159 0 3048 1714
"2017-05-06" "1.6-0" 27 163 0 3172 1919
"2017-08-09" "1.7-0" 27 163 0 3190 1919
"2017-08-23" "1.7-1" 27 163 0 3190 1919
"2017-11-20" "1.8-0" 27 163 0 3222 1944
"2018-01-23" "1.8-1" 27 163 0 3222 1944
"2018-06-14" "1.8-2" 27 163 0 3228 1944
"2018-07-28" "1.9-0" 28 164 0 3256 1944
"2018-10-01" "1.10-0" 28 165 0 3260 1944
"2018-10-15" "1.11-0" 29 168 0 3296 1944
"2018-10-19" "1.12-0" 30 169 0 3303 1944
"2018-10-31" "1.13-0" 30 169 0 3304 1944
